Zip,Latitude,Longitude
10014,,
46319,,
46322,,
46394,,
46410,,
53061,,
54971,,
60007,,
60015,,
60018,,
60022,,
60030,,
60035,,
60044,,
60047,,
60053,,
60056,,
60076,,
60077,,
60083,,
60102,,
60107,,
60108,,
60126,,
60137,,
60148,41.96531637443,-87.65519267057
60153,,
60155,,
60173,,
60176,,
60188,,
60189,,
60193,,
60201,,
60202,,
60302,,
60402,41.99681387751,-87.67716752129
60406,41.67712859277,-87.67993313309
60409,,
60411,,
60423,,
60429,,
60438,,
60440,,
60443,,
60453,,
60455,,
60458,,
60459,,
60461,,
60464,,
60477,,
60478,,
60482,,
60490,,
60501,41.79517872245,-87.76513684692
60503,,
60513,,
60540,,
60558,,
60565,,
60585,,
60601,41.885838746852244,-87.62546819064649
60602,41.88283338038615,-87.62901385344472
60603,41.880558238703784,-87.62815664182486
60604,41.878189898714105,-87.62855872760983
60605,41.87050807933212,-87.62615389650617
60606,41.881465471674446,-87.63599700183539
60607,41.87734692249477,-87.65236317866878
60608,41.85096434652138,-87.66745496464851
60609,41.81168136577834,-87.65941272087431
60610,41.90337882585203,-87.6338104459588
60611,41.894381635610735,-87.62251448323715
60612,41.87901191699947,-87.68709091863704
60613,41.95317967554506,-87.66148445086188
60614,41.924132738862944,-87.65051390168813
60615,41.800008179004465,-87.59753724964375
60616,41.84735919658143,-87.63070401405382
60617,41.725463004842,-87.55940113105264
60618,41.948657627983465,-87.70156347205065
60619,41.74835796223505,-87.60905285642993
60620,41.743609527810804,-87.65259172492395
60621,41.77420787976355,-87.64113114283805
60622,41.902544964708916,-87.67759867630474
60623,41.84785641078991,-87.71532289882903
60624,41.87627216198112,-87.72130589585208
60625,41.96989562819397,-87.70076457127557
60626,42.00950726389208,-87.66961046309585
60628,41.69587067704845,-87.62695417101318
60629,41.77818501966237,-87.71053897468899
60630,41.97070942966317,-87.75376543417606
60631,41.99681850701757,-87.81339443011183
60632,41.80693307653216,-87.70946799433283
60633,41.654221648954724,-87.54831216349267
60634,41.94559368367833,-87.78655336767268
60636,41.77552630817304,-87.67019191603688
60637,41.78393050471393,-87.60399730137934
60638,41.78912179757309,-87.76377546409972
60639,41.92096449960453,-87.754460371339
60640,41.97199743719293,-87.6621133817134
60641,41.94827484362617,-87.74310485257108
60642,41.89949354146535,-87.65760147519009
60643,41.70262512419254,-87.66775172130389
60644,41.8801068585124,-87.75731456871549
60645,42.010206332831466,-87.69191364907871
60646,41.99273348718729,-87.76672970244196
60647,41.9204134286844,-87.69864899390348
60649,41.761319550594,-87.57338544898434
60651,41.899685648865024,-87.73888998709866
60652,41.74602636033702,-87.71779973932489
60653,41.81509344498387,-87.61162188377591
60654,41.89157801899846,-87.63295650455066
60655,41.69717659805885,-87.70403430170927
60656,41.97437615177299,-87.81953576029366
60657,41.939707755704994,-87.65399677655473
60659,41.993581206930195,-87.69916136004211
60660,41.99130098383737,-87.66399834614211
60661,41.882034885818534,-87.64269817003036
60666,42.00849690369343,-87.90684916488054
60706,41.96898509634,-87.79057564961
60707,41.920406352485415,-87.79765209886554
60714,,
60803,,
60804,,
60805,,
60827,41.65465778011485,-87.60380168583201
90046,,
90067,,
90501,,
90504,,
91706,,
