threshold,recall,precision,fpr,f1
0.3,0.9037809216513609,0.25829944197484156,0.7536580091780591,0.40177274315452655
0.35,0.8757342599487052,0.26560108398363985,0.7032027101703467,0.40758567577974586
0.4,0.8265078183172003,0.27511566424322537,0.6324211335623844,0.41281844666212114
0.45,0.7745511706792422,0.28644861242847963,0.5603181086470772,0.4182264909537637
0.5,0.6691486721270786,0.30377464788732395,0.4453761322409361,0.41785492870427776
0.55,0.5286671630677587,0.3193403298350825,0.3272386535643065,0.39816805308907377
0.6,0.30578307272276,0.3541926209870628,0.16191345714903535,0.328212414528017
0.65,0.20186977744684373,0.3737745098039216,0.09821964873501357,0.26215417673918884
0.7,0.0950608091337801,0.3957974509128488,0.042142187837870305,0.1533022014676451
0.75,0.04988830975428146,0.41586206896551725,0.02035030393311069,0.08908916303464579
0.8,0.02018697774468437,0.4380610412926391,0.007520242185435237,0.03859538120847833
