Zip,n_test,true_fail_rate,flip_rate,flip_up_rate,flip_down_rate
60634,1215,0.1925925925925926,0.6345679012345679,0.00823045267489712,0.6263374485596708
60646,326,0.17484662576687116,0.6257668711656442,0.02147239263803681,0.6042944785276073
60666,754,0.1246684350132626,0.6153846153846154,0.0,0.6153846153846154
60604,389,0.15424164524421594,0.609254498714653,0.0,0.609254498714653
60601,822,0.14233576642335766,0.6082725060827251,0.0,0.6082725060827251
60602,380,0.19473684210526315,0.6,0.007894736842105263,0.5921052631578947
60638,617,0.14424635332252836,0.586709886547812,0.0,0.586709886547812
60606,736,0.1453804347826087,0.5842391304347826,0.002717391304347826,0.5815217391304348
60611,1724,0.17865429234338748,0.5725058004640371,0.0,0.5725058004640371
60610,1170,0.18632478632478633,0.5581196581196581,0.022222222222222223,0.5358974358974359
60661,773,0.1759379042690815,0.5446313065976714,0.0038809831824062097,0.5407503234152652
60652,452,0.16150442477876106,0.5420353982300885,0.0,0.5420353982300885
60655,199,0.1708542713567839,0.5326633165829145,0.07537688442211055,0.457286432160804
60654,1132,0.17226148409893993,0.5291519434628975,0.0,0.5291519434628975
60603,559,0.17531305903398928,0.5277280858676208,0.023255813953488372,0.5044722719141324
60629,967,0.20992761116856257,0.5098241985522234,0.002068252326783868,0.5077559462254395
60609,1097,0.2123974475843209,0.479489516864175,0.044667274384685506,0.43482224247948953
60618,1350,0.1962962962962963,0.4414814814814815,0.0,0.4414814814814815
60653,466,0.2167381974248927,0.41201716738197425,0.07725321888412018,0.33476394849785407
60643,933,0.2207931404072883,0.3912111468381565,0.04180064308681672,0.34941050375133975
60637,628,0.24044585987261147,0.33121019108280253,0.08917197452229299,0.24203821656050956
60641,957,0.19958202716823406,0.28422152560083597,0.019853709508881923,0.26436781609195403
60612,866,0.22055427251732102,0.24480369515011546,0.04387990762124711,0.20092378752886836
60656,293,0.22184300341296928,0.2354948805460751,0.030716723549488054,0.20477815699658702
60630,821,0.21559074299634592,0.220462850182704,0.029232643118148598,0.19123020706455543
60616,1257,0.23627684964200477,0.19729514717581542,0.05807478122513922,0.13922036595067622
60632,1304,0.24233128834355827,0.18098159509202455,0.0015337423312883436,0.1794478527607362
60617,1073,0.23299161230195714,0.17054986020503263,0.08387698042870456,0.08667287977632805
60644,727,0.2874828060522696,0.16368638239339753,0.07977991746905089,0.08390646492434663
60631,347,0.2276657060518732,0.15561959654178675,0.008645533141210375,0.14697406340057637
60613,1313,0.20182787509520184,0.15003808073115005,0.022086824067022087,0.12795125666412796
60640,1377,0.2374727668845316,0.140159767610748,0.07116920842411038,0.06899055918663761
60645,467,0.29764453961456105,0.139186295503212,0.021413276231263382,0.11777301927194861
60660,774,0.25193798449612403,0.13824289405684753,0.023255813953488372,0.11498708010335917
60636,631,0.27892234548335976,0.13787638668779714,0.06656101426307448,0.07131537242472266
60628,1040,0.30480769230769234,0.13557692307692307,0.12980769230769232,0.0057692307692307696
60605,938,0.22281449893390193,0.1300639658848614,0.013859275053304905,0.1162046908315565
60607,1268,0.221608832807571,0.12381703470031545,0.013406940063091483,0.11041009463722397
60621,476,0.29411764705882354,0.11974789915966387,0.09453781512605042,0.025210084033613446
60647,1903,0.232790331056227,0.11560693641618497,0.04519180241723594,0.07041513399894903
60622,1643,0.21911138161898966,0.10772976262933658,0.044430919050517347,0.06329884357881924
60608,1491,0.2421193829644534,0.10663983903420524,0.043594902749832326,0.06304493628437291
60626,939,0.268370607028754,0.1033013844515442,0.011714589989350373,0.09158679446219382
60657,1812,0.20253863134657837,0.09933774834437085,0.012693156732891833,0.08664459161147903
60659,1075,0.2576744186046512,0.09767441860465116,0.0037209302325581397,0.09395348837209302
60633,95,0.22105263157894736,0.09473684210526316,0.05263157894736842,0.042105263157894736
60624,447,0.2684563758389262,0.09172259507829977,0.04697986577181208,0.0447427293064877
60620,1090,0.29174311926605506,0.0889908256880734,0.08440366972477065,0.0045871559633027525
60651,670,0.30895522388059704,0.0880597014925373,0.07164179104477612,0.016417910447761194
60619,1174,0.3023850085178876,0.08773424190800681,0.08773424190800681,0.0
60615,529,0.2514177693761815,0.07939508506616257,0.030245746691871456,0.04914933837429111
60639,1482,0.2759784075573549,0.06680161943319839,0.05735492577597841,0.009446693657219974
60642,689,0.1988388969521045,0.05805515239477504,0.0,0.05805515239477504
60649,745,0.22281879194630871,0.052348993288590606,0.008053691275167786,0.04429530201342282
60707,288,0.1875,0.034722222222222224,0.006944444444444444,0.027777777777777776
60614,2106,0.23694207027540362,0.033713200379867046,0.0014245014245014246,0.032288698955365625
60625,1519,0.24950625411454905,0.027649769585253458,0.0006583278472679394,0.026991441737985518
60623,1317,0.25740318906605925,0.018982536066818528,0.007593014426727411,0.011389521640091117
