Zip,fpr,fnr,n_test
60620,0.6709844559585493,0.1540880503144654,1090
60623,0.66359918200409,0.1592920353982301,1317
60649,0.6597582037996546,0.20481927710843373,745
60619,0.6422466422466423,0.16901408450704225,1174
60647,0.636986301369863,0.20316027088036118,1903
60615,0.6363636363636364,0.19548872180451127,529
60617,0.6354799513973268,0.208,1073
60636,0.6351648351648351,0.20454545454545456,631
60707,0.6324786324786325,0.14814814814814814,288
60628,0.632088520055325,0.08517350157728706,1040
60640,0.6238095238095238,0.14984709480122324,1377
60621,0.6220238095238095,0.2785714285714286,476
60651,0.6198704103671706,0.18840579710144928,670
60608,0.6185840707964602,0.22437673130193905,1491
60639,0.614165890027959,0.16136919315403422,1482
60642,0.6032608695652174,0.27007299270072993,689
60622,0.5993764614185503,0.19722222222222222,1643
60624,0.5902140672782875,0.21666666666666667,447
60625,0.5877192982456141,0.18469656992084432,1519
60657,0.5757785467128028,0.16621253405994552,1812
60614,0.5556938394523958,0.21042084168336672,2106
60616,0.553125,0.25925925925925924,1257
60626,0.5443959243085881,0.23412698412698413,939
60607,0.5420466058763931,0.21708185053380782,1268
60644,0.5405405405405406,0.18181818181818182,727
60613,0.5333969465648855,0.22641509433962265,1313
60630,0.5295031055900621,0.3333333333333333,821
60660,0.5215889464594128,0.3282051282051282,774
60659,0.506265664160401,0.296028880866426,1075
60605,0.49794238683127573,0.28708133971291866,938
60637,0.480083857442348,0.31125827814569534,628
60645,0.47560975609756095,0.2446043165467626,467
60632,0.4676113360323887,0.3259493670886076,1304
60641,0.4556135770234987,0.3717277486910995,957
60631,0.44029850746268656,0.31645569620253167,347
60656,0.43859649122807015,0.3384615384615385,293
60612,0.40296296296296297,0.3769633507853403,866
60653,0.35342465753424657,0.4752475247524752,466
60643,0.33012379642365886,0.4174757281553398,933
60609,0.2673611111111111,0.575107296137339,1097
60603,0.24078091106290672,0.6632653061224489,559
60655,0.23636363636363636,0.4117647058823529,199
60629,0.2094240837696335,0.6009852216748769,967
60618,0.20921658986175115,0.6226415094339622,1350
60654,0.20917822838847386,0.6974358974358974,1132
60610,0.19642857142857142,0.6559633027522935,1170
60661,0.16012558869701726,0.7573529411764706,773
60652,0.13720316622691292,0.7534246575342466,452
60638,0.12310606060606061,0.6629213483146067,617
60602,0.12091503267973856,0.8378378378378378,380
60606,0.1192368839427663,0.719626168224299,736
60611,0.11793785310734463,0.814935064935065,1724
60601,0.11347517730496454,0.7264957264957265,822
60646,0.10037174721189591,0.7719298245614035,326
60634,0.06422018348623854,0.8162393162393162,1215
60604,0.0547112462006079,0.85,389
60666,0.01818181818181818,0.925531914893617,754
