Zip,FPR_all,FPR_canvass,enf_share
60601,0.11347517730496454,0.0,0.25547445255474455
60602,0.12091503267973856,0.03636363636363636,0.3526315789473684
60603,0.24078091106290672,0.024193548387096774,0.33094812164579607
60604,0.0547112462006079,0.0,0.29048843187660667
60605,0.49794238683127573,0.7201166180758017,0.3742004264392324
60606,0.1192368839427663,0.0,0.24456521739130435
60607,0.5420466058763931,0.767816091954023,0.3383280757097792
60608,0.6185840707964602,0.8972746331236897,0.39906103286384975
60609,0.2673611111111111,0.14953271028037382,0.34092980856882404
60610,0.19642857142857142,0.009746588693957114,0.335042735042735
60611,0.11793785310734463,0.002642007926023778,0.3051044083526682
60612,0.40296296296296297,0.35517241379310344,0.3244803695150115
60613,0.5333969465648855,0.6729776247848537,0.30997715156131
60614,0.5556938394523958,0.7391304347826086,0.37132003798670465
60615,0.6363636363636364,0.9144736842105263,0.44234404536862004
60616,0.553125,0.7368421052631579,0.4478918058870326
60617,0.6354799513973268,0.7970588235294118,0.43895619757688725
60618,0.20921658986175115,0.024074074074074074,0.31407407407407406
60619,0.6422466422466423,0.9017094017094017,0.551107325383305
60620,0.6709844559585493,0.988,0.5165137614678899
60621,0.6220238095238095,0.7974683544303798,0.3760504201680672
60622,0.5993764614185503,0.7867528271405493,0.3639683505782106
60623,0.66359918200409,0.9481037924151696,0.3477600607441154
60624,0.5902140672782875,0.7652173913043478,0.43847874720357943
60625,0.5877192982456141,0.8554006968641115,0.35220539828834757
60626,0.5443959243085881,0.8575851393188855,0.369542066027689
60628,0.632088520055325,0.9069767441860465,0.4634615384615385
60629,0.2094240837696335,0.009345794392523364,0.31747673216132366
60630,0.5295031055900621,0.6791907514450867,0.32034104750304504
60631,0.44029850746268656,0.5384615384615384,0.27089337175792505
60632,0.4676113360323887,0.6035714285714285,0.3159509202453988
60634,0.06422018348623854,0.012216404886561954,0.29300411522633746
60636,0.6351648351648351,0.9705882352941176,0.5340729001584786
60637,0.480083857442348,0.4030612244897959,0.45063694267515925
60638,0.12310606060606061,0.0030581039755351682,0.26904376012965964
60639,0.614165890027959,0.9114219114219114,0.38191632928475033
60640,0.6238095238095238,0.8874172185430463,0.41975308641975306
60641,0.4556135770234987,0.5644028103044496,0.3103448275862069
60642,0.6032608695652174,0.7830882352941176,0.3468795355587808
60643,0.33012379642365886,0.36103896103896105,0.34512325830653806
60644,0.5405405405405406,0.6792452830188679,0.5006877579092159
60645,0.47560975609756095,0.6893939393939394,0.42398286937901497
60646,0.10037174721189591,0.045714285714285714,0.1901840490797546
60647,0.636986301369863,0.8338235294117647,0.3536521282186022
60649,0.6597582037996546,0.8061224489795918,0.5248322147651007
60651,0.6198704103671706,0.9006622516556292,0.46119402985074626
60652,0.13720316622691292,0.046218487394957986,0.22123893805309736
60653,0.35342465753424657,0.21621621621621623,0.4592274678111588
60654,0.20917822838847386,0.0,0.3083038869257951
60655,0.23636363636363636,0.19827586206896552,0.22613065326633167
60656,0.43859649122807015,0.5462184873949579,0.29692832764505117
60657,0.5757785467128028,0.7110215053763441,0.3272626931567329
60659,0.506265664160401,0.7014084507042253,0.4055813953488372
60660,0.5215889464594128,0.748062015503876,0.40310077519379844
60661,0.16012558869701726,0.022988505747126436,0.3260025873221216
60666,0.01818181818181818,0.0,0.21485411140583555
60707,0.6324786324786325,0.7898550724637681,0.3020833333333333
